name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,source,location,amenity,shop
Buzz Stop,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Mike's Place,"90 הרברט סמואל, תל אביב-יפו",+972 3-510-6392,,http://mikesplacebars.com,Su-Sa 10:00-04:00; Sa-Su 08:00-04:00,,,,,no,,OpenStreetMap,"32.0852997, 34.7818064",pub,
ארוק,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Unknown,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
בקי,13 אבן גבירול,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Rosa Parks,265 דיזנגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
הארבעה,2 הארבעה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Dizzy,121 דיזנגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
אפרטמנט,98 דיזנגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
תמוז,187 יהודה הלוי,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
שושו,221 בן יהודה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
ברקפסט,6 שדרות רוטשילד,,,http://www.breakfast-milk.com,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
מנטל,"7 שד""ל",,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
70 פילים,70 בוגרשוב,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
גילדה,64 אחד העם,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
המעוז,28 קינג גורג,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
גלינה,האנגר 19 נמל תל אביב,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
החלונות הגבוהים,113 החשמונאים,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
אליעזר,186 בן יהודה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Friends,"186 בן יהודה, בן יהודה",,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
זאייצ׳יק,45 נחלת בנימין,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
שטראסה,14 אבן גבירול,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
שלוותה,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
הקיבוץ,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
מאש,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Louis,4 מלכי ישראל,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Shem Tov,14 שדרות מסריק,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
הנביאים,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
אלכוהום,188 בן יהודה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
15 דקות,15 ארלוזורוב,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
פאבליק,17 מונטיפיורי,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Vicenza,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Monarch,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Dancing Camel Pub,12 התעשיה,+97236242783,,http://www.dancingcamel.com,Su-We 17:00-01:00; Th 17:00-02:00; Fr 12:00-17:30; Sa 20:00-00:00,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Patrick's,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Beer Bazaar,"36 ישכון, Tel Aviv",,,https://www.facebook.com/BeerBazaarIL,"Su-Th 12:00-01:00, Fr 11:00-18:00, Sa 19:00-01:00",,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
פרישמן,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
סילביה באמפר,38 אבן גבירול,,,https://silviabumper.co.il/,,,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
אפולו,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
הודנא,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Beerbazaar Levinsky,13 זבולון,,,https://beerbazaar.co.il/#levinsky-eng,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Uganda,"5 בית הבד, תל אביב-יפו",,,,Su-Th 18:00-02:00; Fr-Sa 12:00-02:00,,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Little Prague,Address not available,,,https://littleprague.co.il/,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
El Vecino,"192 אבן גבירול, Tel Aviv",,,https://elvecino.co.il/,,,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Lesin Bar,Address not available,,,,"Su-We 19:00-02:00, Th 19:00-04:00, Fr 21:00-04:00, Sa 19:00-04:00",,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Beer Bazaar,"Tel Aviv, Yafo",,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Beer Bazaar Habima,Tel Aviv,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
The Beer Shop,Tel Aviv,,,https://beershop.co.il,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Beer Garden,Address not available,,,,,,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
223,223 דיזנגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
foster,38 שלמה המלך,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Molly Bloom's,Address not available,,,,Sa-Th 16:00-22:00+; Fr 12:00-22:00+,,yes,,,limited,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Buzz Stop,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Mike's Place,"90 הרברט סמואל, תל אביב-יפו",+972 3-510-6392,,http://mikesplacebars.com,Su-Sa 10:00-04:00; Sa-Su 08:00-04:00,,,,,no,,OpenStreetMap,"32.0852997, 34.7818064",pub,
ארוק,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Unknown,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
בקי,13 אבן גבירול,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Rosa Parks,265 דיזנגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
הארבעה,2 הארבעה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Dizzy,121 דיזנגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
אפרטמנט,98 דיזנגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
תמוז,187 יהודה הלוי,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
שושו,221 בן יהודה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
ברקפסט,6 שדרות רוטשילד,,,http://www.breakfast-milk.com,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
מנטל,"7 שד""ל",,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
70 פילים,70 בוגרשוב,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
גילדה,64 אחד העם,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
המעוז,28 קינג גורג,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
גלינה,האנגר 19 נמל תל אביב,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
החלונות הגבוהים,113 החשמונאים,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
אליעזר,186 בן יהודה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Friends,"186 בן יהודה, בן יהודה",,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
זאייצ׳יק,45 נחלת בנימין,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
שטראסה,14 אבן גבירול,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
שלוותה,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
הקיבוץ,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
מאש,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Louis,4 מלכי ישראל,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Shem Tov,14 שדרות מסריק,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
הנביאים,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
אלכוהום,188 בן יהודה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
15 דקות,15 ארלוזורוב,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
פאבליק,17 מונטיפיורי,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Vicenza,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Monarch,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Dancing Camel Pub,12 התעשיה,+97236242783,,http://www.dancingcamel.com,Su-We 17:00-01:00; Th 17:00-02:00; Fr 12:00-17:30; Sa 20:00-00:00,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Patrick's,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Beer Bazaar,"36 ישכון, Tel Aviv",,,https://www.facebook.com/BeerBazaarIL,"Su-Th 12:00-01:00, Fr 11:00-18:00, Sa 19:00-01:00",,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
פרישמן,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
סילביה באמפר,38 אבן גבירול,,,https://silviabumper.co.il/,,,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
אפולו,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
הודנא,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Beerbazaar Levinsky,13 זבולון,,,https://beerbazaar.co.il/#levinsky-eng,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Uganda,"5 בית הבד, תל אביב-יפו",,,,Su-Th 18:00-02:00; Fr-Sa 12:00-02:00,,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Little Prague,Address not available,,,https://littleprague.co.il/,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
El Vecino,"192 אבן גבירול, Tel Aviv",,,https://elvecino.co.il/,,,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Lesin Bar,Address not available,,,,"Su-We 19:00-02:00, Th 19:00-04:00, Fr 21:00-04:00, Sa 19:00-04:00",,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Beer Bazaar,"Tel Aviv, Yafo",,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Beer Bazaar Habima,Tel Aviv,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
The Beer Shop,Tel Aviv,,,https://beershop.co.il,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
Beer Garden,Address not available,,,,,,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
223,223 דיזנגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
foster,38 שלמה המלך,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",pub,
פורלין,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Boccaccio,106 הירקון,,,,,italian,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
פיצהפינו,Address not available,,,,,pizza,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
קופי בר,13 יד חרוצים,03-688-9696,,https://www.coffeebar.co.il/,Mo-Su 09:00-00:00,italian,,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Bedulina,Address not available,,,http://www.rest.co.il/sites/Default.asp?txtRestID=5742,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Unknown,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
King George,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Ernesto,Address not available,,,,Mo-Su 12:30-23:30,italian,yes,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Olive Leaf,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
לחם ושות,128 בן יהודה,,,,"Mo-Th,Sa-Su 09:00-21:30; Fr 09:00-17:30",coffee_shop,yes,yes,yes,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Pizza Hut,Address not available,,,,,pizza,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Pizza Hut,206 דיזנגוף,,,,,pizza,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
מול-ים,Address not available,,,,,fish,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
קארנס,"14 אבן גבירול, תל אביב",+972 50 4451330,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
למון גראס,22 אבן גבירול,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
דיווינה,14 אשתורי הפרחי,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
טופ שיא,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Matteo,"87 בוגרשוב, תל אביב-יפו",+972 3 938 3433,matteo.tlv@gmail.com,https://matteo.co.il/en/matteo/,Su-Th 12:00-23:00; Th-Sa 10:00-00:00,italian,,,yes,limited,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Moses,39 שדרות רוטשילד,,,,,burger,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
קינג ג'ורג',Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
הבלינצ'ס של שושנה,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
מציצים,Address not available,,,,,,,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
מוזס סטיישן,293 דיזינגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
מאסה,"19 הארבעה, תל אביב-יפו",,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
בראסרי,"70 אבן גבירול, Tel Aviv-Yafo",03-696-7111,,https://brasserie.co.il/,24/7,french,,yes,yes,no,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
רוסטיקו,"15 רוטשילד, תל אביב-יפו",+972 3 510 0039,,https://www.rustico.co.il/,Su 18:00-22:30; Mo-Th 18:00-23:00; Fr 12:30-23:00; Sa 12:30-22:30,italian,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
בנדיקט,171 בן יהודה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Manta Ray,Address not available,,,,,,,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
יטבתה בעיר,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
סושי בזל,20 אשתורי פרחי,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Meat Bar,"52 שדרות ח""ן, תל אביב-יפו",+972 3 695 6276,,https://meatbar.co.il/%D7%9E%D7%99%D7%98%D7%91%D7%A8-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91/,Fr-We 12:00-23:30; Th 12:00-00:00,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
גוסטו,90 פרישמן,,,,,italian,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
באבא יאגה,12 הירקון,035175379,,https://www.babayaga.co.il/,,seafood;russian,,,yes,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
בני הדייג,Address not available,,,,,fish_and_chips;fish,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
הסוכה הלבנה,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
HaLigah,Address not available,,,,,,,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Yulia,Address not available,,,,,mediterranean,,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Kitchen market,Hangar 12 ליפקין-שחק,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Porto,Address not available,,,,,italian,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Come Il Faut,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Kuka,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
hazan grill,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
avilaphit,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Cordelia,Address not available,+972 03 5184668,,http://www.cordelia.co.il/,,,,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
כתית,Address not available,,,https://www.catit.co.il/,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
עדנה,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
שצ'ופק,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
השולחן,73 שדרות רוטשילד,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
מסעדת לונג סנג,Address not available,,,,,chinese,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Ethiopian Restaurant,Address not available,,,,,ethiopian,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Fish Market by Meatos,תל אביב-יפו,+97236932002,,https://fishmarket-tlv.co.il/,,seafood;greek,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Greg,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
פילדלפיה,Address not available,+972 36930606,,,,,yes,yes,yes,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
בולנז'רי 96,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
מפגש הירקון,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
קפה זליק,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Cafe Italia,Address not available,035612888,,https://www.cafe-italia.co.il/,,,,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
שמש,9 תובל רמת גן,03-612-1888,,https://shemesh-rg.co.il/,"Mo-Th, Su 11:00-00:00",shawarma,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
אל גאוצ'ו,Address not available,,,,,steak_house,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Black,Address not available,,,http://www.blackbarburger.co.il,,burger,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
המסעדה,"18 הארבעה, תל אביב-יפו",+972 3 639 9199,,https://hamisada.com/,Su-Sa 12:00-23:00,meat,no,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
האחים,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
יפו-תל אביב,Address not available,+97236249249,,,12:00-23:30,,no,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
סירים,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
הזקן והים,Address not available,,,http://www.rest.co.il/sites/Default.asp?txtRestID=5831,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Honey Beach,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
קלימרה,Address not available,,,http://kalimera.co/,Mo-Sa 12:00+,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
סלטי השף,Address not available,,,,,regional,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
איטלקיה בתחנה,"11א אשקלון, 6811834",+972723945751,info@italiantlv.co.il,https://italiantlv.co.il/,Mo-Su 12:00-23:00,italian;italian_pizza,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
The Red Chinese,Address not available,,,,,chinese,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
allora,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
ויטרינה,"40 לילינבלום, תל אביב",+972 3 616 4118,,,,burger,yes,yes,,no,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Meat Kitchen,10 התעשיה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Unknown,12 התחנה מנשיה ,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Unknown,"12 שטח נמל ת""א ",,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Bodega מטבח אמריקאי,14 קרליבך,,,,,american,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Unknown,14 תרצה,,,,,,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
Little Prague Restaurant,148 בן יהודה,,,,Mo-Su 12:00-23:00,regional;czech,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
J17,17 ירמיהו,,,,Su-Th 09:00-21:00; Fr 09:00-16:00,mediterranean;barbecue;moroccan;international,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
DosaBar,188 בן יהודה,,,,Su-Th 12:00-23:00; Fr 11:00-16:00,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
מלכה,"2 דפנה, תל אביב-יפו",+97236091331,,https://ontopo.co.il/malka,"Su-Th 12:00-16:00,18:00-00:00",,,,,,,OpenStreetMap,"32.0852997, 34.7818064",restaurant,
