name,address,phone,website,opening_hours,amenity,shop,cuisine,location
The Coffee Bean & Tea Leaf,Address not available,,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"3150 Wilshire Boulevard, Los Angeles, CA, 90010",+1 213-384-3578,https://www.starbucks.com/store-locator/store/1007346/vermont-wilshire-3150-wilshire-blvd-los-angeles-ca-900101305-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
The Wheelhouse,"1375 East 6th Street, Los Angeles, CA, 90013",,,07:00-18:00,cafe,,coffee;sandwich,"34.0536909, -118.242766"
Civilization Cafe,"306 West 2nd Street, Los Angeles, CA, 90012",,,,cafe,,,"34.0536909, -118.242766"
Sage Vegan Bistro,1700 Sunset Boulevard,(213) 989-1718,https://www.sageveganbistro.com/,Mo-Fr 10:00-23:00; Sa-Su 09:00-23:00,cafe,,sandwich;salad;Tacos;ramen;pizza;burger,"34.0536909, -118.242766"
The Dog Cafe,240 Virgil Avenue,,,,cafe,,,"34.0536909, -118.242766"
B Twentyfour,2223 North Broadway,+1-323-352-8566,https://www.btwentyfourcafe.com/,,cafe,,,"34.0536909, -118.242766"
Blue Bottle Coffee,"300 South Broadway, Los Angeles, CA, 90013",,https://bluebottlecoffee.com/,"Mo-Fr 07:00-18:00; Sa, Su 07:00-19:00",cafe,,coffee_shop,"34.0536909, -118.242766"
Barista Society,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Corner Bakery,Address not available,,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Speciality's,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Peet's Coffee,Address not available,,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"555 West 5th Street, Los Angeles, CA, 90013",+1 213-819-7063,https://www.starbucks.com/store-locator/store/1017881/5th-grand-gas-co-tower-555-west-5th-street-cc-56-los-angeles-ca-900131010,,cafe,,coffee_shop,"34.0536909, -118.242766"
Yuko Soup Bar,US,,,,cafe,,,"34.0536909, -118.242766"
Yuko Kitchen,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Ali Mama Cafe,"3229 Sunset Boulevard, Los Angeles, CA, 90026",+1-323-668-0856,https://www.alimamasilverlake.com/,16:45-03:30,cafe,,,"34.0536909, -118.242766"
Qwench,Address not available,,https://www.qwenchjuice.com/,,cafe,,,"34.0536909, -118.242766"
Starbucks,"1090 Wilshire Boulevard, Los Angeles, CA, 90017",+1 213-250-8291,https://www.starbucks.com/store-locator/store/14637/bixel-wilshire-1090-wilshire-blvd-los-angeles-ca-900172416-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"639 Cesar E Chavez Avenue, Los Angeles, CA, 90012",+1 213-680-7825,https://www.starbucks.com/store-locator/store/1007141/cesar-chavez-broadway-639-n-broadway-los-angeles-ca-900124500-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Tierra Mia Coffee,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Unknown,Address not available,,,,cafe,,,"34.0536909, -118.242766"
it's boba time,"701 South Vermont Avenue, Los Angeles, CA, 90005",,,,cafe,,coffee_shop;bubble_tea,"34.0536909, -118.242766"
Starbucks,"800 West Olympic Boulevard, Los Angeles, CA, 90015",+1 213-748-1009,https://www.starbucks.com/store-locator/store/18659/olympic-figueroa-la-live-800-w-olympic-blvd-102-los-angeles-ca-900151361-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Maru Coffee,"1019 Santa Fe Avenue, Los Angeles, CA, 90021",,,,cafe,,,"34.0536909, -118.242766"
Starbucks,"300 South Santa Fe Avenue, Los Angeles, CA, 90013",+1 213-737-3158,https://www.starbucks.com/store-locator/store/1039863/pickup-santa-fe-3rd-300-s-santa-fe-ave-d-los-angeles-ca-900133100-us,Mo-Fr 06:00-17:00; sa-su 06:30-17:00,cafe,,coffee_shop,"34.0536909, -118.242766"
Philz Coffee,"801 South Hope Street, Los Angeles, CA",,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Groundwork Coffee Co.,"811 Traction Avenue, Los Angeles, CA, 90013",,,Su-Sa 06:00-19:00,cafe,,,"34.0536909, -118.242766"
Il Caffe,"855 South Broadway, Los Angeles, CA, 90014",,,,cafe,,,"34.0536909, -118.242766"
RVCC Intersect,Address not available,,,,cafe,,,"34.0536909, -118.242766"
85°C,Address not available,,,,cafe,,coffee_shop;chinese,"34.0536909, -118.242766"
Best Girl Coffee Counter,"927 South Broadway, Los Angeles, CA, 90015",+1-213-235-9660,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Cafe Dulce Dos,"777 South Alameda St, Los Angeles, CA, 90021, US",,,Mo-Su 08:00-17:00,cafe,,coffee_shop,"34.0536909, -118.242766"
Cafe Integral at Freehand Los Angeles,"416 West 8th Street, Los Angeles, CA, 90014",,,Mo-Su 07:00-15:30,cafe,,coffee_shop;coffee;pastry,"34.0536909, -118.242766"
Cognoscenti Coffee,"868 South Olive Street, Los Angeles, CA, 90013",,https://cogcoffee.com/,Mo-Su 07:00-14:00,cafe,,coffee_shop,"34.0536909, -118.242766"
endorffeine,"727 North Broadway, Los Angeles, CA, 90012",,,Tu-Su 10:00-18:00; Mo closed,cafe,,coffee;coffee_shop,"34.0536909, -118.242766"
Kien Giang Bakery,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Valerie,1665 Echo Park Avenue,,,,cafe,,pastry;sandwich,"34.0536909, -118.242766"
Nice Coffee,"515 South Flower Street, Los Angeles, CA, 90071",,http://www.nicecoffee.com/,Mo-Fr 07:00-16:00,cafe,,coffee_shop;pastry,"34.0536909, -118.242766"
Localita,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Glowing Plant-Based Eatery,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Go Get Em Tiger,US,,,,cafe,,,"34.0536909, -118.242766"
Songbird Cafe,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Tribal Cafe,Address not available,,,,cafe,,asian;regional;smoothie;salad;bowl,"34.0536909, -118.242766"
Starbucks,"700 West 7th Street, Los Angeles, CA, 90017",+1 213-200-8397,https://www.starbucks.com/store-locator/store/1009777/7th-hope-the-bloc-700-w-7th-street-gl-320-los-angeles-ca-900173768-u,,cafe,,coffee_shop,"34.0536909, -118.242766"
Walt Disney Concert Hall Café,Address not available,,,,cafe,,,"34.0536909, -118.242766"
CafeNOW,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Stumptown Coffee Roasters,"Los Angeles, CA, 90014",,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"600 West 9th Street, Los Angeles, CA, 90015",+1 213-239-9713,https://www.starbucks.com/store-locator/store/89075/9th-flower-600-west-9th-street-135-los-angeles-ca-900154300-u,,cafe,,coffee_shop,"34.0536909, -118.242766"
The Coffee Bean & Tea Leaf,"333 South Alameda Street, Los Angeles, CA, 90013",,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Verve Coffee,"500 Mateo Street, Los Angeles, CA, 90013",(831) 216-4448,https://www.vervecoffee.com/pages/los-angeles-arts-district-cafe-roastery,Mo-Su 07:00-18:00,cafe,,breakfast;coffee_shop;pastry;sandwich,"34.0536909, -118.242766"
Lobby Cafe,Address not available,,,,cafe,,,"34.0536909, -118.242766"
For Five Coffee Roasters Coffee,Address not available,,,,cafe,,,"34.0536909, -118.242766"
G&B,"317 South Broadway, Los Angeles, CA, 90013",,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Acuarela Coffee,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Cognoscenti Coffee Roastery,"1118 San Julian Street, Los Angeles, CA, 90015",,https://www.cogcoffee.com/,08:00-17:00,cafe,,coffee_shop;coffee,"34.0536909, -118.242766"
Starbucks,"2675 East Olympic Boulevard, Los Angeles, CA, 90023",+1 323-265-3457,https://www.starbucks.com/store-locator/store/1007345/olympic-soto-2675-e-olympic-blvd-los-angeles-ca-900232607-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"1111 South Grand Avenue, Elleven Condominium, CA, 90015",+1 213-749-1751,https://www.starbucks.com/store-locator/store/10036/11-th-grand-1111-south-grand-avenue-los-angeles-ca-900152176-u,,cafe,,coffee_shop,"34.0536909, -118.242766"
Matte Black Coffee,"1001 Broadway, 90015",,https://matteblackcoffee.com/,,cafe,,,"34.0536909, -118.242766"
Starbucks,"1251 South Grand Avenue, Los Angeles, CA, 90015",+1 213-744-7978,https://www.starbucks.com/store-locator/store/1017891/pico-grand-1251-s-grand-ave-los-angeles-ca-900152105-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Cow Cafe,342 West Pico Boulevard,,,,cafe,,,"34.0536909, -118.242766"
Gong Cha,Address not available,,,Su-Sa 12:00-20:00,cafe,,bubble_tea,"34.0536909, -118.242766"
Midori Matcha,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Tiger Sugar,Address not available,,,"Su-Th 12:00-21:00; Fr,Sa 12:00-22:00",cafe,,bubble_tea,"34.0536909, -118.242766"
Millet Crepe,Address not available,,,"Mo-Th 12:00-22:30; Fr,Sa 12:00-23:30; Su 12:00-22:00",cafe,,dessert;crepe,"34.0536909, -118.242766"
It's Boba Time,"508 West 7th Street, Los Angeles, CA",,,Mo-Su 10:00-22:00,cafe,,bubble_tea,"34.0536909, -118.242766"
Colburn Café,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Starbucks,"2735 South Figueroa Street, Los Angeles, CA, 90007",+1 213-618-5477,https://www.starbucks.com/store-locator/store/1009663/figueroa-28th-2735-s-figueroa-st-los-angeles-ca-900073256-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Sunright,Address not available,,,,cafe,,bubble_tea,"34.0536909, -118.242766"
It's Boba Time,Address not available,,,,cafe,,bubble_tea,"34.0536909, -118.242766"
Ministry of Coffee,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Boxx Coffee Roasters Co.,"950 East 3rd Street, Los Angeles, CA, 90013",+1-424-313-2533,https://boxxcoffee.la,Mo-Su 07:00-18:00,cafe,,coffee_shop;dessert,"34.0536909, -118.242766"
Bohemian House of Espresso & Chai,90013,2136283086,,,cafe,,,"34.0536909, -118.242766"
Stereoscope Coffee,1501 Sunset Boulevard,+1 213-265-7099,https://www.stereoscopecoffee.com/,Mo-Sa 06:00-19:00; Su 07:00-19:00,cafe,,coffee_shop,"34.0536909, -118.242766"
Woodcat,"1532 Sunset Boulevard, 90026",+1 213-537-0147,http://www.woodcatcoffee.com/,Mo-Fr 06:00-17:30; Sa-Su 07:00-18:00,cafe,,coffee_shop,"34.0536909, -118.242766"
Hey Hey,1555 Sunset Boulevard,+1 213-278-0689,https://www.heyheydrinks.com/,Mo 09:00-19:00; Tu-Su 09:00-20:00,cafe,,bubble_tea,"34.0536909, -118.242766"
Stories Cafe,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Ceci's,"2813 W Sunset Boulevard, 90026",+1 213-277-1690,https://cecisoven.com/,"Mo-We 08:00-15:00; Th-Su 08:00-15:00,17:00-21:00",cafe,,italian,"34.0536909, -118.242766"
Dayglow,3206 West Sunset Boulevard,+1 323-522-3764,https://dayglow.coffee/,Mo-Sa 07:00-19:00; Su 07:00-16:00,cafe,,coffee_shop,"34.0536909, -118.242766"
About Tims,"3287 Wilshire Boulevard, 90010",(213) 340-9070,,,cafe,,,"34.0536909, -118.242766"
Lucky's Coffee Roasters,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Ricas Crepas,"CA, 90020",,,,cafe,,,"34.0536909, -118.242766"
Virtu Coffee,Address not available,,,,cafe,,coffee_shop,"34.0536909, -118.242766"
BASE,"731 South Broadway, Los Angeles, CA, 90014",+12136043029,https://www.instagram.com/basecaffe.la?igsh=MzRlODBiNWFlZA==,Mo-Su 10:00-22:00,cafe,,coffee_shop,"34.0536909, -118.242766"
Oakobing,3300 West 6th Street,,,,cafe,,dessert,"34.0536909, -118.242766"
Hao Sweet,Address not available,,,,cafe,,bubble_tea,"34.0536909, -118.242766"
Canyon Coffee,Address not available,,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Pot of Cha,3013 South Figueroa Street,+12135161888,https://potofcha.com/,Mo-Su 12:30-23:00,cafe,,bubble_tea,"34.0536909, -118.242766"
Lollicup Extra,3015 South Figueroa Street,,,,cafe,,,"34.0536909, -118.242766"
Unknown,"312 West Olympic Boulevard, Los Angeles, CA, 90015",,,,cafe,,donut;chicken,"34.0536909, -118.242766"
Minon Cake,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Bubble,Address not available,,,,cafe,,bubble_tea,"34.0536909, -118.242766"
1802 Roasters,Address not available,,,,cafe,,bagel;coffee_shop,"34.0536909, -118.242766"
Spotlight Café,Address not available,,https://www.patinagroup.com/restaurant.php?restaurants_id=35,,cafe,,,"34.0536909, -118.242766"
Cafecito Orgánico,"534 Hoover Street, Los Angeles, CA, 90026",,,Mo-Fr 06:00-19:00;Sa-Su 07:00-19:00,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"217 North Hill Street, Los Angeles, CA, 90012",+1 213-625-2205,https://www.starbucks.com/store-locator/store/69543/dtla-grand-park-217-n-hill-street-los-angeles-ca-900122705-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Unknown,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Starbucks,"1400 Glendale Boulevard, Los Angeles, CA, 90026",+1 213-484-3848,https://www.starbucks.com/store-locator/store/1028237/glendale-montana-1400-glendale-blvd-los-angeles-ca-900262429-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Novel Cafe,"811 Traction Avenue, Los Angeles, 90013",(213) 621-2240,,,cafe,,american,"34.0536909, -118.242766"
Pie Hole,"714 Traction Avenue, Los Angeles, 90013",(213) 537-0115,https://thepieholela.com/,,cafe,,pie;coffee;dessert,"34.0536909, -118.242766"
Starbucks,"1106 Cornwell Street, Los Angeles, CA, 90033",+1 213-328-8499,https://www.starbucks.com/store-locator/store/1019687/marengo-cornwell-1106-cornwell-street-los-angeles-ca-900331415-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"3241 North Figueroa Street, Los Angeles, CA, 90065",+1 213-999-7901,https://www.starbucks.com/store-locator/store/1022915/figueroa-cypress-3241-n-figueroa-street-los-angeles-ca-900651525-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"800 North Alameda Street, Los Angeles, CA, 90012",+1 213-621-2862,https://www.starbucks.com/store-locator/store/20070/dtla-union-station-main-concou-800-n-alameda-street-s-2-los-angeles-ca-900123742-,"Mo-Fr 04:00-22:00; Sa,Su 04:30-21:00",cafe,,coffee_shop,"34.0536909, -118.242766"
Shreebs,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Coffee M.CO,"2580 West Olympic Boulevard, Los Angeles, CA, 90006",+12136747381,https://www.coffeemco.com/,,cafe,,coffee_shop,"34.0536909, -118.242766"
California Donuts,"3540 West 3rd Street, Little Bangladesh, CA, 90020",+1 213 385-3318,https://cadonuts.com/,,cafe,,donut,"34.0536909, -118.242766"
