name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,source,location,amenity,shop
The Falls,"626 South Spring Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Veranda Poolside Lounge,Address not available,+1 213-627-8971,,,Mo-Th 13:00-24:00; Fr-Sa 12:00-02:00; Su 12:00-24:00,,yes,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Bar Ama,"118 West 4th Street, Los Angeles, CA, US",,,http://www.bar-ama.com,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
The Thirsty Crow,"2939 Sunset Boulevard, Los Angeles, CA, 90026",+1-323-661-6007,,https://www.thirstycrowbar.com/,Mo-Sa 17:00-02:00; Su 14:00-02:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Silverlake Lounge,"2906 Sunset Boulevard, Los Angeles, CA, 90026",+1-323-663-9636,,https://www.thesilverlakelounge.com/,18:00-01:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Vermont Karaoke and Billiards,"191 South Vermont Avenue, Los Angeles, CA, 90004",+1-213-385-3337,,,"Mo-Th 14:00-02:00, Fr-Sa 14:00-04:00, Su 14:00-02:00",,no,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Everson Royce Bar,"1936 East 7th Street, Los Angeles, CA, 90021",+1-213-335-6166,hello@erbla.com,https://rbla.com/,Mo-Th 17:00-02:00; Fr 16:00-02:00; Sa 17:00-02:00; Su 14:00-24:00,,yes,,,,"Cash, Credit Cards",OpenStreetMap,"34.0536909, -118.242766",bar,
901 Bar & Grill,"2902 Figueroa Street, Los Angeles, CA, 90007",,,,Mo-Su 11:30-02:00,,no,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Spire73,900 Wilshire Boulevard,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Two Bit Circus,"634 Mateo Street, Los Angeles, CA, 90021",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
EightyTwo,"707 East 4th Place, Los Angeles, CA, 90013, US",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Precinct DTLA,"357 South Broadway, Los Angeles, CA, 90013",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Redline,"131 East 6th Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Golden Gopher,"417 West 8th Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
The Lash,"117 Winston Street, Los Angeles, CA, 90013, US",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Here & Now Cocktail Bar,"300 Santa Fe Avenue, Los Angeles, CA, 90013",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Pali Wine Co.,"811 Traction Avenue, Los Angeles, CA, 90013",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Elevate Lounge,"811 Wilshire Boulevard, Los Angeles, CA, 90017",+1-213-623-7100,,http://www.elevatelounge.com/,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
broken shaker,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Caña,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
BonaVista Lounge,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
General Lee's,"475 Gin Ling Way, Los Angeles, CA, 90012",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Death & Co - Los Angeles,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Chatterbox,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Lowboy,"1540 Sunset Boulevard, 90026",+1 213-266-8161,mailto:info@parkbars.com,https://lowboybar.com/,Mo-Th 16:00-01:00; Fr 16:00-02:00; Sa 12:00-14:00; Su 12:00-01:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Hanks Bar,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Dahlia,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Monte Carlo,"3514 West 3rd Street, CA, 90020",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Tila,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Thunderbolt,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Kippered,361 South Broadway,,,,"Th-Sa 17:00-24:00, Mo-We 17:00-22:00, Su 15:00-22:00",,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
The Airliner,"2419 North Broadway, Los Angeles, CA, 90031",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Little Joy,"1477 Sunset Boulevard, Los Angeles, CA, 90026",+1 213-935-8276,,https://www.littlejoycocktails.com/,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
The Short Stop,"1455 W Sunset Blvd, Los Angeles, CA, 90026",,theshortstopevents@gmail.com,,Mo-Su 17:00-02:00,,no,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Crawfords,Address not available,,,,,,no,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
The Satellite,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Moroccan Lounge,"901 East 1st Street, Los Angeles, CA, 90012",,,https://www.themoroccan.com/,,,no,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Resident,"428 South Hewitt Street, Los Angeles, CA, 90013, US",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Strada,"825 James M Wood Boulevard, Los Angeles, 90017",,,https://stradadtla.com/,"Tu-Th 16:00-22:00; Fr-Sa 21:00-01:00 open ""Live Dj ""; Mo closed; Fr-Sa 16:00-01:00; Su 12:00-22:00",,yes,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Traxx,Address not available,,,,"Mo-Fr 11:30-22:00; Sa,Su 12:00-22:00",,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
The Mullin Wine Bar,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Rodeo Room,"1306 South Vermont Avenue, Los Angeles, CA, 90006",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Pulgarcito Sports Bar,"1311 South Vermont Avenue, Los Angeles, CA, 90006",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
