name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Київська Дитяча Школа Мистецтв #2 ім М.І.Вериківського,Київська Дитяча Школа Мистецтв #2 ім М.І.Вериківського,,,,Su-Fr 09:00-18:00; Sa 00:00-24:00,,,,,,,school,
Фінансово-Правовий ліцей,Фінансово-Правовий ліцей,,,,,,,,,,,school,
OXFORD PRIME ACADEMY,OXFORD PRIME ACADEMY,,,,,,,,,,,school,
Ліцей №142,2-А Політехнічний провулок,,,,,,,,,,,school,
Спеціалізована школа №155,5 вулиця Січових Стрільців,+380 44 272 0826,,https://sch-155.com.ua/,Mo-Fr 08:30-15:05,,,,,,,school,
"Гімназія ""Консул"" № 86","9 Круглоуніверситетська вулиця, 01004",+380 44 234 6143,gymn@bigmir.net,http://consul86.com.ua/,Mo-Fr 08:30-15:00,,,,,,,school,
Вечірня школа №27,2 Ромський провулок,,,,,,,,,,,school,
Школа № 37,Школа № 37,,,,,,,,,,,school,
Школа №25,1 Володимирська вулиця,+380 44 278 7824,,,Mo-Fr 08:30-16:00,,,,,,,school,
Ліцей №171 «Лідер»,"11-А Лейпцизька вулиця, 01015",+380 44 280 7506;+380 44 280 5315;+380 44 280 0434,,www.ort.kiev.ua,,,,,,,,school,
Школа №130,Школа №130,+380 44 529 4501,,http://school130.org.ua/,,,,,,,,school,
Гімназія біотехнологій №177,Гімназія біотехнологій №177,,,,,,,,,,,school,
Ліцей №153,Ліцей №153,,,,,,,,,,,school,
Ліцей №38,Ліцей №38,,,,,,,,,,,school,
Ліцей №41,7-А Берестейський проспект,+380442364225,school41@ukr.net,https://www.school41.kyiv.ua/,,,,,,,,school,
Британська міжнародна школа,"1 вулиця Андрія Верхогляда, 01103",,,http://britishschool.com.ua,,,,,,,,school,
Ліцей №272 «Український колеж ім. В.О.Сухомлинського»,Ліцей №272 «Український колеж ім. В.О.Сухомлинського»,,,,,,,,,,,school,
Школа №78,Школа №78,+380 44 248 7667,,https://school-78.kiev.ua/,Mo-Fr 08:30-15:50,,,,,,,school,
Школа №133,7/18 Бастіонна вулиця,,,,,,,,,,,school,
Школа №90,2 Лаврська вулиця,,,,,,,,,,,school,
Школа №44,Школа №44,+380 44 289 7785,,http://school44.kiev.sch.in/ua,Mo-Fr 08:30-15:05,,,,,,,school,
Школа-інтернат №11 для дітей з вадами зору,Школа-інтернат №11 для дітей з вадами зору,,,,,,,,,,,school,
Ліцей «Гранд»,Ліцей «Гранд»,,,,,,,,,,,school,
Школа №112,Школа №112,+380 44 287 2350,,,Mo-Fr 08:30-18:00,,,,,,,school,
Школа №85,Школа №85,,,,,,,,,,,school,
"Ліцей ""Універсум""","Ліцей ""Універсум""",+380 44 236 1976,universum95@ukr.net,http://universum.kiev.ua,,,,,,,,school,
Гімназія №110,Гімназія №110,,,,,,,,,,,school,
Гімназія №178,Гімназія №178,,,,,,,,,,,school,
Школа №92 ім. Івана Франка,Школа №92 ім. Івана Франка,+380 44 289 1448,,,Mo-Fr 08:30-15:00,,,,,,,school,
Ліцей №80,Ліцей №80,+380 44 529 4563,sh80@i.ua,https://sch80.kiev.ua/,,,,,,,,school,
Ліцей №43 «Грааль»,Ліцей №43 «Грааль»,,,,,,,,,,,school,
Гімназія №134,Гімназія №134,,,,,,,,,,,school,
Спеціалізована школа №57,"19-А Прорізна вулиця, 01001",+380 44 278 4431,,https://school57.kiev.ua/,Mo-Fr 08:30-15:05,,,,,,,school,
Школа №53,Школа №53,+380 44 234 7993,,,,,,,,,,school,
"Гімназія №32 ""Успіх""","Гімназія №32 ""Успіх""",+380 44 287 0472,,http://highschool32.com.ua/,Mo-Fr 08:30-14:55,,,,,,,school,
Школа №58,Школа №58,,,,,,,,,,,school,
Предславинська гімназія №56,30-А Предславинська вулиця,+380 44 529 4185,gimnazia56@ukr.net,http://gymn56.kiev.ua/,,,,,,no,,school,
Школа №232,Школа №232,+380 44 418 7966,232sch@gmail.com,http://school232.edukit.kiev.ua/,,,,,,,,school,
Школа №216,8-Г вулиця Олександра Архипенка,+380 44 418 6507,,https://www.education.ua/schools/kiev/sh-216/,,,,,,,,school,
"Приватна школа ""Афіни""","Приватна школа ""Афіни""",,,https://www.athens.kiev.ua/,,,,,,,,school,
Новопечерська школа,Новопечерська школа,+380 44 359 0750,info@novoshkola.com.ua,https://novoshkola.com.ua/,,,,,,,,school,
Кловський ліцей іноземних мов № 77,"25 Шовковична вулиця, 01024",+380 44 253 7345,klovski77@gmail.com,http://klovsky77.com.ua/,Mo-Fr 08:30-14:10,,,,,,,school,
Школа №128,Школа №128,,,http://128.kiev.ua,,,,,,,,school,
Школа №187,Школа №187,,,,,,,,,,,school,
Школа №164,"39 Уманська вулиця, 03087",,,,,,,,,,,school,
"Технічний ліцей НТУУ ""КПІ"" м. Києва","Технічний ліцей НТУУ ""КПІ"" м. Києва",+380 44 243 2522,mail@tl-kpi.kiev.ua,,,,,,,,,school,
Ліцей №221,Ліцей №221,,,,,,,,,,,school,
Школа №87 імені О.П. Довженка,4/6 вулиця Антоновича,+380 44 235 6063,specialized.school87@ukr.net,https://school87.ucoz.net/,,,,,,,,school,
Спеціалізована школа № 7 ім. М. Рильського з поглибленим вивченням англійської мови,Спеціалізована школа № 7 ім. М. Рильського з поглибленим вивченням англійської мови,,,,,,,,,,,school,
Гімназія імені Тараса Шевченка,Гімназія імені Тараса Шевченка,,,,,,,,,,,school,
Академічний ліцей № 47,Академічний ліцей № 47,+380 44 528 1364,,https://www.school47.kiev.ua/,,,,,,,,school,
Ліцей №88,3 вулиця Катерини Білокур,+380 44 285 2169,,http://sch88.kiev.ua,,,,,,,,school,
Спеціалізована школа №115 ім. Івана Огієнка,10 Кавказька вулиця,,,http://www.school-115.com.ua,,,,,,,,school,
Гімназія №107 «Введенська»,"35 Введенська вулиця, 04071",+380 44 485 1808;+380 44 485 1808,wedenska.107@ukr.net,http://www.wedenska107.com,Mo-Fr 08:30-15:05,,,,,,,school,
Французький ліцей,Французький ліцей,,alena.dubrovina@lyceeadk.com,,,,,,,,,school,
Школа І-ІІІ ступенів №101,Школа І-ІІІ ступенів №101,+380 44 483 3118,school101.kyiv@ukr.net,https://school101.kiev.ua/,,,,,,,,school,
Податковий ліцей №21,"64 вулиця Саксаганського, 01033",,,,,,,,,,,school,
Школа №165,Школа №165,,,,,,,,,,,school,
Школа №60,Школа №60,,,,,,,,,,,school,
Школа №139,Школа №139,,,,,,,,,,,school,
Гімназія ім. Драгоманова,Гімназія ім. Драгоманова,,,https://gymnasia-npu.org.ua/,,,,,,,,school,
Гімназія №19 «Межигірська»,16 Межигірська вулиця,,,,,,,,,,,school,
Ліцей №145,46 вулиця Шота Руставелі,+380 44 287 1149,,https://www.lic145.kiev.ua/,Mo-Fr 08:30-16:00,,,,,,,school,
Ліцей № 319 ім. Валерія Лобановського,"146 проспект Валерія Лобановського, 03118",+380 44 525 6249,znz319@ukr.net,https://https://znz319.kyiv.ua/,,,,,,,,school,
Гімназія №117 імені Лесі Українки,Гімназія №117 імені Лесі Українки,+380 44 278 0491,gymnasium117@gmail.com,http://gymnasium117.kiev.ua/,,,,,,,,school,
Гімназія №48,Гімназія №48,,,,,,,,,,,school,
Ліцей №181,Ліцей №181,,,,,,,,,,,school,
Ліцей №89 ім. Григорія Цехмістренка,Ліцей №89 ім. Григорія Цехмістренка,,,,,,,,,,,school,
MRIYDIY,MRIYDIY,,,,,,,,,,,school,
Школа №61,Школа №61,,,,,,,,,,,school,
Школа №1,Школа №1,,,,,,,,,,,school,
Ліцей №133,Ліцей №133,,,,,,,,,,,school,
Ліцей № 17 «Кирилівський»,8 Кирилівська вулиця,,,,,,,,,,,school,
Ліцей №100 «Поділ»,8 Покровська вулиця,+380 44 425 1542,,https://podil100.com/,,,,,,,,school,
Школа «Базис»,12-Б Кожумʼяцька вулиця,,,https://basis.ua/,,,,,,,,school,
Гімназія №75,Гімназія №75,,,,,,,,,,,school,
Школа №102,Школа №102,,,,,,,,,,,school,
Школа №138,Школа №138,+380 44 486 9571,,,,,,,,,,school,
Ліцей №84,Ліцей №84,,,,,,,,,,,school,
